date,circulation,n_1_1,n_1_2,n_1_3,n_1_4,n_2_1,n_2_2,n_2_3,n_2_4,prize
01.07.2020 10:00,1987,1,5,13,17,3,11,14,17,716 822 391 
30.06.2020 22:00,1986,6,9,12,17,4,10,15,18,715 538 779 
30.06.2020 16:00,1985,9,11,13,14,7,11,13,14,714 762 402 
30.06.2020 13:00,1984,8,10,15,18,2,7,18,19,713 939 062 
30.06.2020 10:00,1983,2,4,11,16,2,9,12,19,712 869 558 
29.06.2020 22:00,1982,9,10,13,16,2,8,10,11,711 542 110 
29.06.2020 16:00,1981,5,8,16,18,6,11,16,20,710 810 775 
29.06.2020 13:00,1980,3,6,13,17,4,7,14,17,710 205 209 
29.06.2020 10:00,1979,2,3,17,20,8,12,17,18,709 192 749 
28.06.2020 22:00,1978,6,11,13,17,1,14,15,17,707 877 710 
28.06.2020 16:00,1977,1,5,12,14,6,14,15,18,707 120 914 
28.06.2020 13:00,1976,9,11,13,18,5,6,11,14,706 299 577 
28.06.2020 10:00,1975,2,3,9,20,2,5,14,16,705 338 217 
27.06.2020 22:00,1974,1,5,16,17,8,12,15,17,704 180 674 
27.06.2020 16:00,1973,1,14,15,20,1,5,7,8,703 402 129 
27.06.2020 13:00,1972,3,7,8,11,2,13,15,20,702 609 139 
27.06.2020 10:00,1971,8,9,19,20,4,7,12,15,701 393 323 
26.06.2020 22:00,1970,1,8,9,10,9,10,12,18,699 968 671 
26.06.2020 16:00,1969,3,11,13,16,7,10,15,17,699 156 060 
26.06.2020 13:00,1968,3,11,17,20,2,4,9,20,698 387 913 
26.06.2020 10:00,1967,1,6,11,17,2,6,7,10,697 571 663 
25.06.2020 22:00,1966,4,10,13,16,3,9,16,17,696 358 305 
25.06.2020 16:00,1965,4,7,12,20,1,2,15,19,695 621 005 
25.06.2020 13:00,1964,8,9,14,18,3,6,8,16,694 877 863 
25.06.2020 10:00,1963,5,14,15,16,2,7,11,17,693 899 311 
24.06.2020 22:00,1962,1,10,12,20,5,8,15,16,692 873 268 
24.06.2020 16:00,1961,9,12,15,18,5,12,18,20,692 064 274 
24.06.2020 13:00,1960,6,13,19,20,2,12,15,17,691 313 909 
24.06.2020 10:00,1959,1,7,8,9,8,14,15,18,690 321 124 
23.06.2020 22:00,1958,8,9,14,17,1,13,17,18,689 097 987 
23.06.2020 16:00,1957,1,6,9,10,8,15,17,18,688 328 432 
23.06.2020 13:00,1956,3,12,17,19,10,13,14,18,687 596 989 
23.06.2020 10:00,1955,2,7,8,11,2,14,17,19,686 562 273 
22.06.2020 22:00,1954,5,6,9,19,4,5,6,8,685 365 097 
22.06.2020 16:00,1953,3,12,18,19,1,4,9,14,684 770 082 
22.06.2020 13:00,1952,1,7,12,20,6,9,12,19,684 067 627 
22.06.2020 10:00,1951,2,4,5,15,2,8,15,16,683 258 462 
21.06.2020 22:00,1950,1,6,9,16,4,9,12,16,681 987 127 
21.06.2020 16:00,1949,1,6,13,18,8,17,19,20,681 247 238 
21.06.2020 13:00,1948,6,7,8,15,2,6,8,17,680 492 809 
21.06.2020 10:00,1947,2,5,9,11,3,13,16,19,679 586 767 
20.06.2020 22:00,1946,6,15,17,19,5,6,7,15,678 519 471 
20.06.2020 16:00,1945,2,6,9,14,1,13,14,20,677 803 813 
20.06.2020 13:00,1944,4,10,13,18,5,6,8,16,677 055 050 
20.06.2020 10:00,1943,2,10,12,17,2,12,15,19,676 030 619 
19.06.2020 22:00,1942,1,4,12,16,6,7,9,11,674 788 133 
19.06.2020 16:00,1941,1,2,10,13,3,5,8,20,674 073 721 
19.06.2020 13:00,1940,5,6,13,20,5,7,14,18,673 304 678 
19.06.2020 10:00,1939,2,5,17,19,13,14,16,18,672 285 164 
18.06.2020 22:00,1938,7,9,13,16,3,5,17,19,671 275 338 
